id,node_from,node_to,origid 
1,0,1,1
2,1,2,1
3,2,3,1
4,3,4,1
5,4,5,1
6,5,6,1
7,6,7,1
8,7,8,1
9,8,9,1
10,9,10,1
11,10,11,1
12,11,12,1
13,12,13,1
14,13,14,1
15,14,15,1
16,15,16,1
17,16,17,1
18,17,18,1
19,18,19,1
20,19,20,1
21,20,21,1
22,21,22,1
23,22,23,1
24,23,24,1
25,24,25,1
26,25,26,1
27,26,27,1
28,27,28,1
29,28,29,1
30,29,30,1
31,30,31,1
32,31,32,1
33,32,33,1
34,33,34,1
35,34,35,1
36,35,36,1
37,36,37,1
38,37,38,1
39,38,39,1
40,39,40,1
41,40,41,1
42,41,42,1
43,42,43,1
44,43,44,1
45,44,45,1
46,45,46,1
47,46,47,1
48,47,48,1
49,48,49,1
50,49,50,1
51,50,51,1
52,51,52,1
53,52,53,1
54,53,54,1
55,54,55,1
56,55,56,1
57,56,57,1
58,57,58,1
59,58,59,1
60,59,60,1
61,60,61,2
62,61,62,2
63,62,63,2
64,63,64,2
65,64,65,2
66,65,66,2
67,66,67,2
68,67,68,2
69,68,69,2
70,69,70,2
71,70,71,2
72,71,72,2
73,72,73,2
74,73,74,2
75,74,75,2
76,75,76,2
77,76,77,2
78,77,78,3
79,78,79,3
80,79,80,3
81,80,81,3
82,81,82,3
83,82,83,3
84,83,84,3
85,84,85,3
86,85,86,3
87,86,87,3
88,87,88,3
89,88,89,3
90,89,90,3
91,90,91,3
92,91,92,3
93,92,93,3
94,93,94,3
95,94,95,3
96,95,96,3
97,96,97,3
98,97,98,3
99,98,99,3
100,99,100,3
101,100,101,3
102,101,102,3
103,102,103,3
104,103,104,3
105,104,105,3
106,105,106,4
107,106,107,4
108,107,108,4
109,108,109,4
110,109,110,4
111,110,111,4
112,111,112,4
113,112,113,4
114,113,114,4
115,114,115,4
116,115,116,4
117,116,117,5
118,117,118,5
119,118,119,5
120,119,120,5
121,120,121,5
122,121,122,5
123,122,123,5
124,123,124,5
125,124,125,5
126,125,126,5
127,126,127,5
128,127,128,5
129,128,129,5
130,129,130,5
131,130,131,5
132,131,132,6
133,132,133,6
134,133,134,6
135,134,135,6
136,135,136,6
137,136,137,6
138,137,138,6
139,138,139,6
140,139,140,6
141,140,141,7
142,141,142,7
143,142,143,7
144,143,144,7
145,144,145,7
146,145,146,7
147,146,147,7
148,147,148,7
149,148,149,7
150,149,150,8
151,150,151,8
152,151,152,8
153,152,153,8
154,153,154,8
155,154,155,8
156,155,156,8
157,156,157,8
158,157,158,8
159,158,159,8
160,159,160,8
161,160,161,8
162,161,162,8
163,162,163,8
164,163,164,8
165,164,165,8
166,165,166,8
167,166,167,8
168,167,168,8
169,168,169,8
170,169,170,8
171,170,171,8
172,171,172,8
173,172,173,9
174,173,174,9
175,174,175,9
176,175,176,9
177,176,177,9
178,177,178,9
179,178,179,9
180,179,180,9
181,180,181,10
182,181,182,10
183,182,183,10
184,183,184,10
185,184,185,10
186,185,186,10
187,186,187,10
188,187,188,10
189,188,189,11
190,189,190,11
191,190,191,11
192,191,192,11
193,192,193,11
194,193,194,11
195,194,195,12
196,195,196,12
197,196,197,12
198,197,198,12
199,198,199,12
200,199,200,12
201,200,201,12
202,201,202,12
203,202,203,12
204,203,204,12
205,204,205,12
206,205,206,12
207,206,207,12
208,207,208,12
209,208,209,12
210,209,210,12
211,210,211,12
212,211,212,12
213,212,213,12
214,213,214,12
215,214,215,12
216,215,216,12
217,216,217,12
218,217,218,12
219,218,219,12
220,219,220,12
221,220,221,12
222,221,222,12
223,222,223,12
224,223,224,12
225,224,225,12
226,225,226,12
227,226,227,12
228,227,228,12
229,228,229,12
230,229,230,12
231,230,231,12
232,231,232,12
233,232,233,12
234,233,234,12
235,234,235,12
236,235,236,12
237,236,237,12
238,237,238,12
239,238,239,12
240,239,240,12
241,240,241,12
242,241,242,12
243,242,243,12
244,243,244,12
245,244,245,12
246,245,246,12
247,246,247,12
248,247,248,12
249,248,249,12
250,249,250,12
251,250,251,12
252,251,252,12
253,252,253,12
254,253,254,12
255,254,255,12
256,255,256,12
257,256,257,12
258,257,258,12
259,258,259,12
260,259,260,12
261,260,261,12
262,261,262,13
263,262,263,13
264,263,264,13
265,264,265,13
266,265,266,13
267,266,267,13
268,267,268,13
269,268,269,13
270,269,270,13
271,270,271,13
272,271,272,13
273,272,273,13
274,273,274,13
275,274,275,13
276,275,276,14
277,276,277,14
278,277,278,14
279,278,279,14
280,279,280,14
281,280,281,14
282,281,282,14
283,282,283,14
284,283,284,14
285,284,285,14
286,285,286,14
287,286,287,14
288,287,288,14
289,288,289,14
290,289,290,14
291,290,291,14
292,291,292,14
293,292,293,14
294,293,294,14
295,294,295,14
296,295,296,14
297,296,297,15
298,297,298,15
299,298,299,15
300,299,300,15
301,300,301,16
302,301,302,16
303,302,303,16
304,303,304,16
305,304,305,16
306,305,306,16
307,306,307,16
308,307,308,16
309,308,309,16
310,309,310,16
311,310,311,16
312,311,312,16
313,312,313,16
314,313,314,16
315,314,315,16
316,315,316,16
317,316,317,16
318,317,318,16
319,318,319,16
320,319,320,16
321,320,321,16
322,321,322,16
323,322,323,16
324,323,324,16
325,324,325,16
326,325,326,16
327,326,327,16
328,327,328,16
329,328,329,16
330,329,330,16
331,330,331,16
332,331,332,16
333,332,333,16
334,333,334,16
335,334,335,16
336,335,336,16
337,336,337,16
338,337,338,16
339,338,339,16
340,339,340,16
341,340,341,16
342,341,342,16
343,342,343,16
344,343,344,16
345,344,345,17
346,345,346,17
347,346,347,17
348,347,348,17
349,348,349,17
350,349,350,17
351,350,351,17
352,351,352,17
353,352,353,17
354,353,354,17
355,354,355,17
356,355,356,17
357,356,357,17
358,357,358,17
359,358,359,18
360,359,360,18
361,360,361,18
362,361,362,18
363,362,363,18
364,363,364,18
365,364,365,18
366,365,366,18
367,366,367,18
368,367,368,18
369,368,369,18
370,369,370,18
371,370,371,19
372,371,372,19
373,372,373,19
374,373,374,19
375,374,375,19
376,375,376,19
377,376,377,19
378,377,378,19
379,378,379,19
380,379,380,19
381,380,381,19
382,381,382,19
383,382,383,19
384,383,384,19
385,384,385,19
386,385,386,19
387,386,387,19
388,387,388,19
389,388,389,19
390,389,390,19
391,390,391,19
392,391,392,19
393,392,393,19
394,393,394,20
395,394,395,20
396,395,396,20
397,396,397,20
398,397,398,20
399,398,399,20
400,399,400,20
401,400,401,20
402,401,402,20
403,402,403,20
404,403,404,20
405,404,405,20
406,405,406,20
407,406,407,20
408,407,408,20
409,408,409,20
410,409,410,20
411,410,411,20
412,411,412,20
413,412,413,20
414,413,414,20
415,414,415,20
416,415,416,20
417,416,417,20
418,417,418,20
419,418,419,20
420,419,420,20
421,420,421,20
422,421,422,20
423,422,423,21
424,423,424,21
425,424,425,21
426,425,426,21
427,426,427,21
428,427,428,21
429,428,429,21
430,429,430,21
431,430,431,21
432,431,432,21
433,432,433,21
434,433,434,21
435,434,435,21
436,435,436,21
437,436,437,21
438,437,438,21
439,438,439,21
440,439,440,21
441,440,441,21
442,441,442,21
443,442,443,21
444,443,444,21
445,444,445,21
446,445,446,21
447,446,447,21
448,447,448,21
449,448,449,22
450,449,450,22
451,450,451,22
452,451,452,22
453,452,453,22
454,453,454,22
455,454,455,22
456,455,456,22
457,456,457,22
458,457,458,22
459,458,459,22
460,459,460,22
461,460,461,22
462,461,462,22
463,462,463,23
464,463,464,23
465,464,465,23
466,465,466,23
467,466,467,23
468,467,468,23
469,468,469,23
470,469,470,23
471,470,471,23
472,471,472,24
473,472,473,24
474,473,474,24
475,474,475,24
476,475,476,24
477,476,477,24
478,477,478,25
479,478,479,25
480,479,480,25
481,480,481,25
482,481,482,25
483,482,483,25
484,483,484,25
485,484,485,25
486,485,486,25
487,486,487,26
488,487,488,26
489,488,489,26
490,489,490,26
491,490,491,26
492,491,492,27
493,492,493,27
494,493,494,27
495,494,495,27
496,495,496,27
497,496,497,27
498,497,498,27
499,498,499,27
500,499,500,27
501,500,501,27
502,501,502,27
503,502,503,27
504,503,504,27
505,504,505,27
506,505,506,27
507,506,507,28
508,507,508,28
509,508,509,28
510,509,510,29
511,510,511,29
512,511,512,29
513,512,513,29
514,513,514,29
515,514,515,29
516,515,516,29
517,516,517,29
518,517,518,29
519,518,519,29
520,519,520,29
521,520,521,29
522,521,522,30
523,522,523,30
524,523,524,30
525,524,525,30
526,525,526,30
527,526,527,30
528,527,528,30
529,528,529,30
530,529,530,30
531,530,531,30
532,531,532,30
533,532,533,31
534,533,534,31
535,534,535,31
536,535,536,31
537,536,537,31
538,537,538,31
539,538,539,31
540,539,540,31
541,540,541,31
542,541,542,31
543,542,543,31
544,543,544,31
545,544,545,31
546,545,546,31
547,546,547,31
548,547,548,31
549,548,549,31
550,549,550,31
551,550,551,31
552,551,552,31
553,552,553,31
554,553,554,31
555,554,555,31
556,555,556,32
557,556,557,32
558,557,558,32
559,558,559,32
560,559,560,32
561,560,561,32
562,561,562,32
563,562,563,32
564,563,564,32
565,564,565,32
566,565,566,32
567,566,567,32
568,567,568,32
569,568,569,32
570,569,570,32
571,570,571,32
572,571,572,33
573,572,573,33
574,573,574,33
575,574,575,33
576,575,576,33
577,576,577,33
578,577,578,33
579,578,579,33
580,579,580,33
581,580,581,34
582,581,582,34
583,582,583,34
584,583,584,34
585,584,585,34
586,585,586,34
587,586,587,34
588,587,588,34
589,588,589,34
590,589,590,34
591,590,591,34
592,591,592,34
593,592,593,34
594,593,594,34
595,594,595,34
596,595,596,34
597,596,597,34
598,597,598,34
599,598,599,34
