id,x,y,z,fid 
1,-62.84648,-22.03499,0.0,1
2,-63.98684,-21.99363,0.0,1
3,-64.37702,-22.79811,0.0,1
4,-64.96488,-22.07584,0.0,1
5,-66.27334,-21.83231,0.0,1
6,-67.10668,-22.73592,0.0,1
7,-67.82818,-22.8729,0.0,1
8,-68.21991,-21.49434,0.0,1
9,-68.75717,-20.37267,0.0,1
10,-68.44222,-19.40508,0.0,1
11,-68.96682,-18.98166,0.0,1
12,-69.10026,-18.26012,0.0,1
13,-69.59042,-17.58002,0.0,1
14,-68.95965,-16.50068,0.0,1
15,-69.38977,-15.66012,0.0,1
16,-69.16036,-15.32395,0.0,1
17,-69.33953,-14.9532,0.0,1
18,-68.94888,-14.45364,0.0,1
19,-68.92923,-13.60267,0.0,1
20,-68.88007,-12.89972,0.0,1
21,-68.66509,-12.56131,0.0,1
22,-69.52969,-10.9517,0.0,1
23,-68.78616,-11.03636,0.0,1
24,-68.27124,-11.0145,0.0,1
25,-68.04819,-10.71207,0.0,1
26,-67.1738,-10.30681,0.0,1
27,-66.64691,-9.9313,0.0,1
28,-65.33844,-9.76197,0.0,1
29,-65.44484,-10.51142,0.0,1
30,-65.32189,-10.89584,0.0,1
31,-65.40227,-11.56629,0.0,1
32,-64.31635,-12.462,0.0,1
33,-63.1965,-12.62704,0.0,1
34,-62.80305,-13.00067,0.0,1
35,-62.12707,-13.19877,0.0,1
36,-61.71322,-13.48921,0.0,1
37,-61.08412,-13.47939,0.0,1
38,-60.50331,-13.77597,0.0,1
39,-60.4592,-14.35399,0.0,1
40,-60.26433,-14.64596,0.0,1
41,-60.25115,-15.07722,0.0,1
42,-60.54296,-15.09391,0.0,1
43,-60.15839,-16.25827,0.0,1
44,-58.24121,-16.29956,0.0,1
45,-58.38806,-16.87711,0.0,1
46,-58.28081,-17.27169,0.0,1
47,-57.73455,-17.55249,0.0,1
48,-57.49838,-18.17419,0.0,1
49,-57.676,-18.96185,0.0,1
50,-57.95,-19.4,0.0,1
51,-57.85379,-19.97001,0.0,1
52,-58.16639,-20.17672,0.0,1
53,-58.18347,-19.86842,0.0,1
54,-59.11504,-19.35688,0.0,1
55,-60.04357,-19.34273,0.0,1
56,-61.78634,-19.63372,0.0,1
57,-62.26596,-20.51375,0.0,1
58,-62.29117,-21.05164,0.0,1
59,-62.68505,-22.24903,0.0,1
60,-62.84648,-22.03499,0.0,1
